Bank account or service,2017,86200,1134,1.3
Checking or savings account,2020,147417,1957,1.3
Consumer Loan,2017,179015,4242,2.4
Credit card,2017,268198,5204,1.9
Credit card or prepaid card,2020,341269,6012,1.7999999999999998
Credit reporting,2017,481695,7277,1.5
"Credit reporting, credit repair services, or other personal consumer reports",2020,855076,11685,1.4000000000000001
Debt collection,2020,1143790,26628,2.3
"Money transfer, virtual currency, or money service",2020,1158886,27442,2.4
Money transfers,2017,1164235,27768,2.4
Mortgage,2020,1463723,33136,2.3
Other financial service,2017,1464778,33500,2.3
Payday loan,2017,1470316,34249,2.3
"Payday loan, title loan, or personal loan",2020,1483058,35862,2.4
Prepaid card,2017,1486873,36017,2.4
Student loan,2020,1544299,37431,2.4
Vehicle loan or lease,2020,1560867,38488,2.5
Virtual currency,2014,1560868,38488,2.5
Virtual currency,2016,1560881,38489,2.5
